doi,functionals,basis_sets,softwares,elements
10.1002/chem.201905392,M06-L,"6-311G(d,p) | 6-31G(d,p) | Lanl2tz(f)",Gaussian 09,Au C Cl H N O P
10.1002/chem.201905395,B3LYP,6-311+G**,,B C Co H
10.1002/chem.201905396,B3LYP | PBE,6-31G(d) | DND | DNP,Gaussian 09,
10.1002/chem.201905429,B3LYP-D3,def2-TZVPD,Turbomole,C H P S
10.1002/chem.201905451,"Becke-Perdew (BP86), OPBE",triple-z Slater basis set plus double-polarization (STO-TZ2P),ADF,
10.1002/chem.201905455,UBP86 | UPBE1PBE-D,"SDD(Cr) | SVP(C,H,N,O,Cl,S) | TZVP(C,H,N,O,Cl,S)",,
10.1002/chem.201905559,B3LYP | CAM-B3LYP,6-31+G(d) | 6-31G(d),Gaussian 09,B C F H
10.1002/chem.201905601,B3LYP | BP86,def2-TZVP,ORCA,C Cu H N S
10.1002/chem.201905608,B3LYP-D3,6-31G(d) | SDD,Amber 16 | CAVER Analyst 1.0 | Gaussian 09 | ORCA,Au C H I P
10.1002/chem.201905651,PBE,"PAW data sets for Ru atoms treating the 4p, 4d and 5s states",VASP,
10.1002/chem.201905676,PBE0,"6-21G | 6-311G(d,p)",Gaussian,C H N O
10.1002/chem.201905699,B3LYP | ωB97X-D,"6-31+G** | 6-311+G(2df,2pd) | def2-QZVPP",Gaussian,
10.1002/chem.201905708,"PBE, D3BJ",def2-SVP,,C H N Ni O
10.1002/chem.201905734,B3LYP,6-31G(d),Gaussian 09,
10.1002/chem.201905750,CAM-B3LYP | PBE0,ECP46 | ECP60 | def2-SVP | def2-TZVP,Gaussian 09 | ORCA,
10.1002/chem.201905771,M06,def2-TZVPD,Gaussian 09,
10.1002/chem.201905794,B3LYP | PBE,"6-31(d,p) | 6-31+G**",CASTEP | EAGER | GSAS | Gaussian 09,B C H N O
10.1002/chem.201905805,,,MacroModel Ver. 9.0,C Cu H N
10.1002/chem.201905812,M06-2X,6-31+G**,Gaussian 16,
10.1002/chem.201905814,B3LYP,"6-311++G(2d,p) | 6-311++G(2df,2pd) | 6-31G(d)",Gaussian 16 | Spartan,Br C H N O
10.1002/chem.201905821,,,,C
10.1002/chem.201905828,B3LYP,DGDZVP,Gaussian 09,Ag C O
10.1002/chem.201905830,B3LYP-D3(BJ),def2-SVP,GRRM17 | Gaussian 16,
10.1002/chem.202000009,B97-D,6-31G(d) | cc-pVTZ,Gaussian 09,C Cl H N Ni Si
10.1002/chem.202000016,PBE0 | PBE0-50HF,TZ2P | def2-QZVP | def2-TZVP,ADF | Gaussian 09 | Turbomole,
10.1002/chem.202000079,B3LYP | M06,"6-311+G(d,p) | 6-31G(d) | LANL2DZ",M06,C H Ni
10.1002/chem.202000081,BP86-D3(BJ),def2-SVP | def2-TZVPP,ORCA,C Cu H N O
10.1002/chem.202000104,B3LYP-D3(BJ),,Gaussian,
10.1002/chem.202000106,B3LYP-D3,def2-TZVP,Gaussian 09,C H Mg
10.1002/chem.202000148,"B3LYP, ωB97X",,,B C Co Fe H N O Os P Re Ru
10.1002/chem.202000165,PBE,cc-pVDZ,ORCA,C H N O
10.1002/chem.202000218,BP86 | PWPB95,def2-QZVP | def2-TZVP,ORCA,C Fe H O P
10.1002/chem.202000226,BP86-D3BJ | TPSS,LANL2DZ | def2-TZVP,ORCA,C Cu Fe H N P
10.1002/chem.202000232,B3LYP-D3(BJ) | ωB97X-D,6-311G(d) | def2-QZVPP,Gaussian 16,
10.1002/chem.202000255,PBE0,def2-TZVP,ORCA,C H N
10.1002/chem.202000266,ωB97X-D,6-311+G**,Gaussian 09,B C F H P
10.1002/chem.202000272,ZORA-OLYP,TZ2P,ADF,C F H
10.1002/chem.202000289,PBE-D3(BJ),def2-TZVPP,,
10.1002/chem.202000325,,,,Al B C H N O Y
10.1002/chem.202000355,ωB97X-D,def2-TZVP,Gaussian 09,
10.1002/chem.202000391,ωB97X-D,"6-311++G(d,p) | 6-31G(d,p) | LANL2DZ | ccPVTZpp",Gaussian 09,C Cl H N O Ru S Si
10.1002/chem.202000436,,,Matlab,
10.1002/chem.202000438,B3LYP,def2-TZVP | def2-TZVP(-f),ORCA,
10.1002/chem.202000518,B3LYP,6-311G(d),Gaussian 09,
10.1002/chem.202000533,PBE0,cc-pVTZ,Gaussian,B C F H N
10.1002/chem.202000542,B3LYP,def2-SVP,,C H O P Rh
10.1002/chem.202000552,,,DFTB+,
10.1002/chem.202000564,PBE0-D3,SVP | TZVP,Gaussian 09,Au C Cl H S
10.1002/chem.202000585,D3 | TPSS,"6-31+G(d,p) | def2-TZVPPD",Gaussian 16 | ORCA,Al Ar Be C Ca Cl Co Cr F Fe H He K Mg Mn N Na Ne O P S Sc Si Ti V
10.1002/chem.202000595,B3LYP,def2-SVP,Turbomole,C H N O
10.1002/chem.202000603,"ωB97X-V, B3LYP",6-311G(d),Q-Chem,
10.1002/chem.202000614,B3LYP,6-31G(d),Gaussian 09,
10.1002/chem.202000620,BLYP-D3(BJ),DZP,Amsterdam Density Functional,C H O
10.1002/chem.202000636,B3LYP | B3PW91 | M06-L,"6-31G(d,p)",Gaussian 09,B C F H N
10.1002/chem.202000637,PBE,real space grid with a grid spacing of 0.20 Å,GPAW,
10.1002/chem.202000651,B3LYP-D3,def2-SVP | def2-TZVP,Gaussian 09,C H
10.1002/chem.202000659,B3LYP | M06-L | PBE | PBE0 | TPSS,,,
10.1002/chem.202000667,B3LYP,"6-311++G(2d,p) | 6-311++G(d,p)",Gaussian 16,
10.1002/chem.202000720,D3 | TPSS,aug-def2-TZVPP | def2-TZVP,Bruker TopSpin 3.2,C H O
10.1002/chem.202000752,B3LYP | CAM-B3LYP,6-31+g(d) | LANL2DZ,Gaussian 16,
10.1002/chem.202000772,PBE,plane wave basis set with a cut-off energy of 450 eV,VASP,
10.1002/chem.202000775,"B3LYP, CAM-B3LYP",6-31g(d),Gaussian 16,
10.1002/chem.202000778,PBE,6-31G(d),Gaussian 16,C H N O
10.1002/chem.202000836,M06-2X,def2-TZVP,Gaussian 09,
10.1002/chem.202000857,BP86 | BP86-D3(BJ) | M06-2X,TZ2P,ADF2017,C H N
10.1002/chem.202000866,B97-D,def2-SVP,Gaussian 09,C Cl N Ru Si
10.1002/chem.202000871,,,,C H N O
10.1002/chem.202000881,"PBE+U, HSE06",,VASP,
10.1002/chem.202000921,B3LYP-D3,def2-SVP | def2-TZVPP,,C H
10.1002/chem.202000932,B3LYP | M06-2X,6-31+G* | cc-pVTZ,,C F H P
10.1002/chem.202000934,PBE,DZVP-GTH,CP2K,
10.1002/chem.202000962,B3LYP,non-augmented double-ζ-basis set of slater-type orbitals with one polarization function (DZP) | non-augmented triple-ζ-basis set of slater-type orbitals with one polarization function (TZP),Amsterdam Density Functional (ADF) Modeling Suite 2016,
10.1002/chem.202001039,,6-31++G** | 6-31G(d),,C H N O
10.1002/chem.202001062,B3LYP-D3(BJ) | BLYP,TZ2P | def2-TZVPP,ADF,C H N
10.1002/chem.202001095,B3LYP,6-31G(dp) | ANO-RCC | ECP28MWB | ECP60MWB,Gaussian 09,
10.1002/chem.202001156,Grimme’s D3-dispersion correction | PBE,PAW potentials,Gaussian 16 | VASP,
10.1002/chem.202001164,B3LYP,6-31G**+LANL2DZ,,C H N Pt
10.1002/chem.202001189,BP86,6-31G(d) | MWB10 | MWB28 | MWB46 | def-SV(P),Gaussian 09 | Turbomole,
10.1002/chem.202001210,M06-2X,6-31+G(d),,
10.1002/chem.202001223,B3LYP,6-31G(d) | LANL2DZ,Gaussian 09,C Co H O P
10.1002/chem.202001236,M06-2X,6-31+G(d),Gaussian 09,Al Ar B Be C Ca Cl F H He K Li Mg N Na Ne O P S Sc Si
10.1002/chem.202001237,B3LYP-D3(BJ),def2-QZVPP | def2-TZVPP,ORCA,C Cr H N
10.1002/chem.202001259,ωB97X-D3,pcseg-2,Q-Chem,C Cl H O
10.1002/chem.202001276,PBEh-3c; revDSD-PBEP86,def2-QZVPP,,B C F H N O
10.1002/chem.202001365,(U)TPSSH | B3LYP,6-31G(d) | SDD | def2-SVP,Gaussian 09,C H N O Y
10.1002/chem.202001367,"PBE0, CAM-B3LYP","6-311G(d), 6-311+G(d), SDDALL",Gaussian 09,
10.1002/chem.202001368,B3LYP | M06,"6-311+G(d,p) | 6-31G(d) | SDD",Gaussian 09,C H N O Pd Si
10.1002/chem.202001376,BP86,"6-311+G(2d,p) | 6-31G(d,p) | LANL2DZ | def2-QZVP",Gaussian,Au C H N
10.1002/chem.202001379,TPSS,def2-TZVP,Turbomole,
10.1002/chem.202001389,B3LYP,6-31G,Gaussian 09,C H N O
10.1002/chem.202001394,ωB97X-D3,6-31G(d) | 6-31G*/PCM,Q-Chem,
10.1002/chem.202001434,B3LYP-D3(BJ) | M06(D3) | ωB97X-D,def2-ECP | def2-SVPP | def2-TZVPP,Gaussian 16,C H N O
10.1002/chem.202001436,ωB97X-D,"6-311++G(3df,3pd) | 6-311G(d,p)",Gaussian 16,
10.1002/chem.202001447,B3LYP-D3(BJ),"6-311+G(2d,2p) | 6-31G(d,p) | LANL2DZ",Gaussian 09,
10.1002/chem.202001449,B3LYP | BP86,def2-TZVPP,AOMix | Gaussian 16 | NBO 6.0 | SWizard,Cu H P S
10.1002/chem.202001450,B3LYP,6-31G(d),Gaussian 16,C H O
10.1002/chem.202001479,B3LYP-D3(BJ),cc-pVDZ,ORCA,C H O
10.1002/chem.202001494,M06-2X | ωB97X-D,"6-311++G(d,p) | 6-311+G(d,p) | 6-311G(d,p) | 6-31G(d)",Gaussian 09,
10.1002/chem.202001503,B3LYP-D3 | PBE-D3 | PBE-D3(BJ),def2-TZVP,,C H
10.1002/chem.202001539,B3LYP | B3PW91 | BLYP | BP86 | CAM-B3LYP | M06 | M06-2X | M06-L | PBE0 | PBEPBE | ωB97X-D,BS1 | BS2,,
10.1002/chem.202001555,B3LYP | CAM-B3LYP,"6-31+G(d) | 6-311G(d,p)",Gaussian 09,
10.1002/chem.202001585,M06-2X | M06-2X-D3,TZ2P | def2-TZVPP,,O
10.1002/chem.202001597,PBE,projector augmented wave pseudopotential,VASP,
10.1002/chem.202001654,,,Gaussian 09,C H O P
10.1002/chem.202001674,,,Gaussian 16,
10.1002/chem.202001685,BP86,"6-31G | 6-31G(d,p) | LANL2DZ",Gaussian 09,C H N P Ru
10.1002/chem.202001731,B3LYP,cc-pVDZ,NWChem,
10.1002/chem.202001735,B3LYP-D3(BJ),"6-311+G(2d,2p)",,
10.1002/chem.202001753,"GLLB-SC, PBE, B3LYP","frozen-core approximation for gold, phosphorus and carbon",GPAW,
10.1002/chem.202001762,B3LYP,def2-TZVPP,Gaussian 09,
10.1002/chem.202001788,B3LYP,6-31G(d) | LANL2DZ,,
10.1002/chem.202001793,BP86 | M06,SDD | SVP | TZVP,Gaussian 09,C H O
10.1002/chem.202001830,B3LYP | PBE0 | PBE0-D3BJ,6-31G(d) | LANL2DZ | def2-TZVP,,B C H Ir P
10.1002/chem.202001905,M06-2X | ωB97X-D,"6-31+G(d,p) | 6-311++G(2d,2p) | aug-cc-pVTZ | def2-TZVPP",Gaussian 16,C F H
10.1002/chem.202002013,B3LYP | Grimme’s D3 | PBE | revPBE-D3,"6-31G(d,p) | def2-QZVP | def2-TZVP",Gaussian 09,C Cu H N O Pd
10.1002/chem.202002115,B3LYP,"6-31G(d,p)",Gaussian 16,
10.1002/chem.202002150,,,Thermo Fisher Scientific ESCALAB250Xi,
10.1002/chem.202002199,,,Coot | Ortep3 | Pymol | SHELXL-2018/3 | SHELXT | XDS,
10.1002/chem.202002200,B3LYP-D3,6-31G(d) | SDD,Gaussian 09,
10.1002/chem.202002203,B3LYP,6-311+G* | 6-31G(d) | LACV3P+ + ECP | LANL2DZ + ECP,Gaussian 09,C Fe H N O S
10.1002/chem.202002219,B3LYP | CAM-B3LYP | PBE,"6-31G(d,p) | LANL2DZ",Gaussian,
10.1002/chem.202002226,M06-L,"6-31G(d,p)",Gaussian 09,
10.1002/chem.202002339,BP86-D3(BJ),def2-TZVPP,Turbomole,
10.1002/chem.202002384,M06-2X,"6-31G(2d,p) | LabL2DZ",Gaussian 16,C H N O Rh S
10.1002/chem.202002394,,,,H
10.1002/chem.202002405,B3LYP | PBE0,6-31G(d) | def2-SVP | def2-TZVP,GRRM 14 | Gaussian 09,F H I
10.1002/chem.202002418,B3LYP,"6-311+G(d,p)",Gaussian 09,
10.1002/chem.202002481,BP86 | M06-2X | ωB97X-D,6-311+G**,Gaussian 09,C Fe H P
10.1002/chem.202002506,"TPSS, GD3BJ",def2-TZVP,Gaussian 16,
10.1002/chem.202002558,B3LYP,6-31G(d) | LANL2DZ,Gaussian 09,
10.1002/chem.202002561,B3LYP | CAM-B3LYP,"6-31G(d,p)",Gaussian 09,
10.1002/chem.202002575,B3LYP,6-31G | LANL2DZ,,
10.1002/chem.202002579,B3LYP | ωB97X-D,6-31G(d) | TApr-cc-pVDZ,Gaussian 09,
10.1002/chem.202002581,B3LYP,def2-TZVP,Gaussian 16,C H N O
10.1002/chem.202002600,,,,B C F H N
10.1002/chem.202002617,PBE,TZP,ADF,
10.1002/chem.202002638,PBE | ωB97X-D,"6-311G(d,p) | def2-TZVP",Spartan | Turbomole,
10.1002/chem.202002677,B3LYP,"6-31G(d,p) | LANL2DZ",Gaussian 16,Ag Al Ar As B Ba Be Br C Ca Cd Ce Cl Co Cr Cs Cu Dy Er Eu F Fe Ga Gd Ge H He Hf Ho I In K Kr La Li Lu Mg Mn Mo N Na Nb Nd Ne Ni O Os P Pd Pm Pr Rb Re Rh Ru S Sb Sc Se Si Sm Sn Sr Ta Tb Tc Te Ti Tm V W Xe Y Yb Zn Zr
10.1002/chem.202002688,PBE,"TZVP-MOLOPT, DZVP-MOLOPT",Gaussian 09,
10.1002/chem.202002736,BLYP,6-31G(d),Gaussian 09,
10.1002/chem.202002781,B3LYP,6-311++G**,,
10.1002/chem.202002792,B3LYP,"6-31G(d,p)",Gaussian,H
10.1002/chem.202002826,B3LYP | BHandHLYP,"6-31+G(d) | 6-311G(d,p)",Gaussian 09,
10.1002/chem.202002845,B3LYP-D3(BJ),"6-311+G(2d,2p), LanL2TZ",,C Cl H Ir
10.1002/chem.202002930,M06,6-311++G** | SDD,Gaussian 16,C Cl F Fe H Ir N P S
10.1002/chem.202002986,BP86,def2-TZVPP,,Ca H
10.1002/chem.202002997,B3LYP,"6-31G(2d,p)",Gaussian 09,
10.1002/chem.202003023,B3LYP | PBE1PBE-D3,BS1 | BS2,,C Cl H N Pt
10.1002/chem.202003045,B3LYP | DLPNO-CCSD(T) | TAO-LDA | TAO-PBE,6-31G(d) | cc-pVTZ,,
10.1002/chem.202003062,B3LYP-D3(BJ) | PBE0,6-311++G** | 6-31G(d) | def2-SVP | def2-TZVP,Gaussian 16,C F H I O
10.1002/chem.202003073,B3LYP,ANO-RCC-VDZ | ANO-RCC-VDZP | ANO-RCC-VTZP,Gaussian | ORCA,
10.1002/chem.202003099,B97-D,"6-311G(d,p) | Stuttgart RSC effective core potential basis set",Gaussian 09,
10.1002/chem.202003188,CAM-B3LYP | TD-CAM-B3LYP-GD3BJ,6-31+G(d),Gaussian 16,C H O
10.1002/chem.202003233,B3LYP-D3 | BP86-D3 | TPSS-D3,,,C Fe H N O S
10.1002/chem.202003240,B3LYP-D3(BJ),def2-SVP,Gaussian 16,C H Li O Si Ti
10.1002/chem.202003248,ωB97X-D,6-31G(d),MacSpartan 18,
10.1002/chem.202003260,revPBE,def2-TZVP,ORCA,
10.1002/chem.202003271,CAM-B3LYP | PBE0 | TPSSh,ECP60MWB | def2-TZVP | def2-TZVPP-2c | dhf-TZVP-2c,Turbomole,
10.1002/chem.202003291,B3LYP | BP86,def2-SVP | def2-TZVP,Gaussian 09,C H Ni P
10.1002/chem.202003390,B3LYP,6-31G,Gaussian 09,C H N
10.1002/chem.202003391,B3LYP | CAM-B3LYP | PB0,6-31G(d),GROMACS 2018 | Gaussian 16,
10.1002/chem.202003398,PBE0,"6-31G(d) | 6-31G(d,p) | LANL2DZ",Gaussian 09,
10.1002/chem.202003402,B3LYP | CAM-B3LYP,def2-SVP | def2-TZVP,Gaussian 09 | ORCA,C H N O
10.1002/chem.202003420,PBE0,"6-31+G(2d,p)",Gaussian,N O
10.1002/chem.202003424,B3LYP,def2-SV(P) | def2-TZVP,Turbomole,C H N
10.1002/chem.202003431,M05-2X | PBE,"6-311G(2d,p) | 6-31G(d) | ECP60MDF",Gaussian 09,
10.1002/chem.202003465,B3PW91,,,C H P U
10.1002/chem.202003505,M06-2X,def2-SVP | def2-TZVPP,Gaussian 09,C Cl H N P
10.1002/chem.202003533,PBE-D3 | PBE0,DZVP-MOLOPT-GTH | DZVP-MOLOPT-SR-GTH | def2-TZVP,CP2K | Gaussian 16,
10.1002/chem.202003541,,,,C H N Si
10.1002/chem.202003566,BP86,def2-TZVP,Turbomole,
10.1002/chem.202003571,PBE0,"6-31G(d,p) | Stuttgart effective core potentials (ECPs)",Gaussian 09,
10.1002/chem.202003593,HSE | PBE,Ultrasoft-type pseudopotentials,Quantum ESPRESSO,
10.1002/chem.202003605,PBE0,6-31G(d) | MDF10,Avogadro | GNU Parallel | GaussSum | Gaussian 16 | POV-Ray | VMD,
10.1002/chem.202003634,B3LYP-D3,"6-31G(d,p) | LANL2DZ | SDD",Gaussian 09,C H
10.1002/chem.202003672,CAM-B3LYP,def2-SVP,Gaussian 16 | Q-Chem,
10.1002/chem.202003683,PBE-D3,def2SV(P),Spartan,
10.1002/chem.202003733,B3LYP-D3(BJ) | M06-2X | MP2 | ωB97X-D,"6-31++G(d,p) | 6-311+G(2df) | 6-311+G(d) | aug-cc-pVTZ | def2-TZVP",,
10.1002/chem.202003783,B3LYP,"6-31+G(d,p)",Gaussian 09,C H O
10.1002/chem.202003801,B3LYP | BP86,6-31G(d) | DZP,Gaussian 09,
10.1002/chem.202003831,OLYP,TZ2P,ADF,C F H
10.1002/chem.202003856,HSE06 | PBE | vdW-DF2,,VASP,
10.1002/chem.202003862,B3PW91,6-31+G** | 6-311++G**,Gaussian 16,Al H Li
10.1002/chem.202003911,,,,C H N O
10.1002/chem.202003912,B97-D3 | BP86 | M06-L | OPBE,def2-SVP | def2-TZVP | def2-TZVPP,ORCA,Br C F H N Ni O
10.1002/chem.202003937,B3LYP,"6-31G(d,p) | LANL2DZ",Gaussian 16,Ag C H N
10.1002/chem.202003994,BP86 | CAM-B3LYP | M06-2X,"6-31G(d,p) | def-SV(P) | def2-TZVP",COSMOtherm | Gaussian 16 | Turbomole,
10.1002/chem.202004019,,,AMBER18,C Fe H N O
10.1002/chem.202004103,PBE0,def2-SVP | def2-TZVP,CREST | Gaussian 16 | GoodVibes | Macromodel | PyMol,C H N O
10.1002/chem.202004132,BP86,"def2-SVP, def2-TZVPP",Gaussian 16,C H N O
10.1002/chem.202004146,B3LYP,6-31G(d) | Stuttgart-Dresden,Gaussian 09,
10.1002/chem.202004164,B3LYP-D3(BJ),"6-311+G(2d,2p) | 6-31G(d,p)",,C Cl H Li Mg N O S
10.1002/chem.202004237,B3LYP-D3 | BP86-D3 | M06-D3,6-31G(d) | SDD,Gaussian 09,
10.1002/chem.202004244,B3LYP | HF | TD-B3LYP,6-31+G** | 6-31G(d) | jun-cc-pVDZ,Gaussian 09 | Gaussian 16,C H
10.1002/chem.202004280,ωB97X-D,6-31G*/LANL2Dz,,
10.1002/chem.202004281,ωB97X-D,6-31G(d),,Au C Cl H O P
10.1002/chem.202004300,B3PW91,"6-311+G(d,p) | 6-311G(d,p) | 6-31G(d,p) | s6-31G*",Gaussian 09,C H N O P
10.1002/chem.202004328,B3LYP | CAM-B3LYP,"6-311++G(2d,p) | 6-311++G(3d,f,2p)",OPChem,
10.1002/chem.202004344,B3LYP,6-31G(d) | ECP60MWB_SEG | LANL2DZ,Gaussian 09,
10.1002/chem.202004396,M06-L,def2-SVP | def2-TZVP,Gaussian 16,C H N
10.1002/chem.202004418,B3LYP | B3LYP-D3 | B97-D,"6-311G(d,p) | Stuttgart-Koeln RLC ECP",Gaussian 09,
10.1002/chem.202004425,PBE0,def2-TZVPP,Gaussian 16,C F H P Sn
10.1002/chem.202004481,CAM-B3LYP,def2-SVP | def2-TZVP,Gaussian,Br C H O
10.1002/chem.202004496,M06-2X,TZ2P | def2-SVPP,ZORA,C H
10.1002/chem.202004519,B97-3c | PW6B95-D3,def2-TZVPP,CREST | ENSO | Turbomole | xTB,C F H N S
10.1002/chem.202004556,CAM-B3LYP,6-31+G**,CAM-B3LYP,C Cl H N O
10.1002/chem.202004596,PBE,DNP,DMol3,Ca
10.1002/chem.202004633,B3LYP,"6-311G(d,p) | 6-31G(d,p) | LANL2DZ",Gaussian 16,C N O
10.1002/chem.202004638,B3LYP,LANL2DZ,Gaussian 09,
10.1002/chem.202004643,B3LYP | CAM-B3LYP,"6-311+G(d,p) | 6-31G(d)",,B C F Ge H S Si
10.1002/chem.202004716,ωB97X-D,6-31+G** | 6-311+G** | 6-31G(d),Gaussian,
10.1002/chem.202004733,B3LYP-D3,def2-QZVPP | def2-SVP | def2-TZVPP,,
10.1002/chem.202004758,B3LYP | B97-D3 | M06 | M06-L | PBE0 | ωB97X-D,SDD | def2-SVP | def2-TZVP,GaussView 6 | Gaussian 16 | ORCA,C Co H N
10.1002/chem.202004840,M06-2X,6-311+G(d) | aug-cc-pVTZ,Gaussian 16,C H Li O
10.1002/chem.202004843,B97-D3 | PW6B95D3,"6-311G** (C H O P Cl) | D95 (C,H,O,P,Cl) | SDD(+ECP, Ir)",Gaussian 16 | GoodVibes,
10.1002/chem.202004846,B3LYP-D3 | M06,6-31G(d) | SDD | def2-TZVP,Gaussian 16,C H
10.1002/chem.202004881,B97-D3 | M06,"6-311+G(d,p) | def2-SVP | def2-TZVPP",Gaussian 16,
10.1002/chem.202004885,BP86 | PBE0,def2-SVP | def2-TZVP,Turbomole,F P
10.1002/chem.202004899,CAM-B3LYP,"6-311+G(2d,p) | 6-31G(d)",Gaussian 16,
10.1002/chem.202004906,"BP86, B3LYP, M06-2X",TZ2P,BP86/TZ2P,
10.1002/chem.202004931,B3PW91,"6-311G(d,p)",Gaussian 09,C Ca H N
10.1002/chem.202004980,B3LYP | B3LYP-D3 | BP86 | PBE0 | PBE0-D3,"6-311+G(d,p) | 6-31G(d) | def2-TZVP",Gaussian 16 | Jaguar | ORCA,
10.1002/chem.202004991,,,,Al C H N
10.1002/chem.202005001,B3LYP,"6-31G+(d,p)",,
10.1002/chem.202005016,B3LYP-D3(BJ) | BP86 | M06-2X,"6-31G(d,p) | LANL2DZ | def2-TZVP",Gaussian 16,
10.1002/chem.202005035,B3LYP | M06-2X,6-31+G(d),Gaussian 09,
10.1002/chem.202005078,BP86 | PBE0,TZ2P,Amsterdam Density Functional (ADF) suite,C Cl O U
10.1002/chem.202005098,,,,C F H O
10.1002/chem.202005104,B3LYP | PBE0,aug-cc-pVTZ | cc-pVDZ | cc-pVTZ,Gaussian 09,C F H I O
10.1002/chem.202005119,BP86 | PBE,Dyall-VTZ | TZ2P | TZP | def2-TZVP | fully uncontracted IGLO-II,ADF | Chemcraft | Gaussian 09 | NBO 6.0 | Respect,
10.1002/chem.202005186,,,Gaussian 16,
10.1002/chem.202005193,"B3PW91, M06","6-31G(d,p), SDD",Gaussian 16,C H N O S
10.1002/chem.202005198,B3LYP-D3,def2-TZVP,Gaussian 09,C H Mg P
10.1002/chem.202005239,B3PW91,"6-31G(d,p) | adapted basis set augmented by a set of d functions | augmented by an f-polarization function",Gaussian 09,C F H I La O
10.1002/chem.202005285,B3LYP,6-31G(d),Gaussian 09,
10.1002/chem.202005289,B3LYP-D3 | CAM-B3LYP-D3 | PBE0-D3,def2-SVP,Gaussian 09,
10.1002/chem.202005300,B3LYP,"6-311+G(d,p)",Gaussian 09,C H Si
10.1002/chem.202005320,B3LYP | CAM-B3LYP | M06-2X,"6-31+G(d,p) | 6-31G(d,p) | def2-TZVP",Gaussian 16,C H O
10.1002/chem.202005327,,,,S
10.1002/chem.202005338,M06-2X,"6-311++G(2df,2p) | 6-31G(d) | aug-cc-pVDZ-PP",Gaussian 16,
10.1002/chem.202005369,M06-2X,"6-311+G(d,p) | 6-31G(d)",Gaussian 09,C H N O
10.1002/chem.202005392,B3PW91,"6-31G(d,p) | SDDALL",Gaussian 09,C O
10.1002/chem.202005433,,,,C H N O
10.1002/chem.202005450,M06-L | ωB97M-V,def2-TZVP | def2-TZVPP,Gaussian 16 | ORCA,
10.1002/chem.202005479,ωB97X-D,6-31G(d),Gaussian 16,H
10.1002/chem.202100015,,,,C Cu H N O Zn
10.1002/chem.202100031,BP86,def2-SVP | def2-TZVP,Gaussian 16,
10.1002/chem.202100089,,,,C H U
10.1002/chem.202100105,"B3LYP, BP86",def2-TZVP,ORCA,
10.1002/chem.202100150,"B3LYP, PBE0",def2-SV(P),Gaussian 16,
10.1002/chem.202100176,B3LYP | TPSS,6-311++G** | 6-31G(d) | LANL2DZ | Lanl2TZ(f),,
10.1002/chem.202100195,BP86-D3(BJ) | PBE0,"6-311++G(2d,2p) | 6-31G(d) | LANL2TZ(f) | TZ2P | TZVP",ADF | Gaussian 09,Au C H N O
10.1002/chem.202100201,M06-2X,"6-31G(d), LanL2DZDP",Gaussian 16,
10.1002/chem.202100215,PBE0,6-31+G(d) | SDD,Gaussian 09,
10.1002/chem.202100305,B3LYP | CAM-B3LYP | PBE | TPSS | ωB97X-D,6-311G(d) | 6-31G(d) | ECP60MWB | cc-pVDZ | cc-pVTZ | def2-SVP,Gaussian 09,
10.1002/chem.202100342,B3LYP | M06,def2-SVP | def2-TZVP,Gaussian 09,C H N Ni O S
10.1002/chem.202100344,BP86,def2-TZVP | def2-TZVP5,GFN2-xTB | Turbomole | UCSF Chimera,
10.1002/chem.202100372,B3LYP,def2-SVP | def2-TZVP,Gaussian 16,C H N
10.1002/chem.202100389,mPW1PW91,"6-311G(d,p) | cc-pVTZ-PP",Gaussian 09,
10.1002/chem.202100390,B3LYP | M06,"6-311G(d,p) | 6-31G(d)",Gaussian 09,
10.1002/chem.202100426,B3LYP | M06-L,"6-311+G(2d,p) | 6-31G(d) | LANL2DZ | SDD",,C Co H N O P S
10.1002/chem.202100453,,,,C H N O Si
10.1002/chem.202100512,B3LYP | CAM-B3LYP,LACVP*,Q-Chem,
10.1002/chem.202100572,BP86-D3,"TZP, SDD",ADF,C Cl H Rh
10.1002/chem.202100598,B3LYP-D3,def2-SVP,Gaussian 09 | Schrödinger 2020-3,C H
10.1002/chem.202100611,B3LYP,6-31G(d),Gaussian 09,
10.1002/chem.202100631,B3LYP | M05-2X,"6-31G(d,p)",Gaussian 09,
10.1002/chem.202100641,B3PW91,def2-SVP | def2-TZVP,Gaussian 16,H
10.1002/chem.202100654,B3LYP | CAM-B3LYP | HSE06 | PBE,LANL2DZ | cc-pVTZ,Gaussian 09,
10.1002/chem.202100663,B3LYP-D3,def2-TZVP,ORCA,As C H Mo O P
10.1002/chem.202100672,ωB97X-D,def2-SVPD,Gaussian 16,
10.1002/chem.202100705,,,EasySpin,
10.1002/chem.202100767,B3LYP | M06-2X | TPSSh,def2-TZVP,ORCA,C H O
10.1002/chem.202100781,B3LYP,6-31+G* | 6-311++G**,Gaussian 03,
10.1002/chem.202100791,B3LYP | B3LYP-D | PBE0,BS1 | BS2 | BS3,AMBER 18 | Gaussian 09,
10.1002/chem.202100812,ωB97X-D,6-31+G*,GRRM | Gaussian 16,Br C F H N O
10.1002/chem.202100840,M06 | M06-L,,,C Cl H N P Ru
10.1002/chem.202100851,HSE06,,,
10.1002/chem.202100922,,,,Li
